lto,rto,lhs,rhs
0.269970000000058,0.900049000000081,0.669954999999959,0.030018000000041
1.56986900000004,2.20994500000006,1.999954,1.33996900000011
2.83155700000009,3.449926,3.22990200000004,2.61990500000002
4.07980899999995,4.76979700000004,4.529901,3.86978799999997
5.37983600000007,6.04981900000007,5.81991200000004,5.15982199999996
6.64983300000006,7.30978900000002,7.09073000000001,6.43000599999993
7.96977400000003,8.62958300000003,8.389681,7.73969800000009
9.259546,9.89951200000007,9.69949900000006,9.05958299999998
10.559386,11.190881,10.969461,10.339481
11.859903,12.459429,12.269496,11.6194400000001
13.1493389999999,13.759384,13.5794059999999,12.9193980000001
14.409305,15.029318,14.819354,14.179338
15.719247,16.379278,16.149237,15.479522
16.989187,17.6692410000001,17.4392770000001,16.799438
18.339264,18.989098,18.769306,18.099204
19.679115,20.309081,20.099038,19.439125
20.94892,21.589008,21.368964,20.728972
22.23891,22.898834,22.6793660000001,22.018949
23.5389290000001,24.148862,23.9487750000001,23.308848
24.808805,25.378731,25.168803,24.568759
26.028684,26.648685,26.4587349999999,25.808843
27.348713,27.9896,27.758675,27.1085429999999
28.668669,29.308613,29.078612,28.448879
29.988626,30.6296950000001,30.41858,29.7585770000001
31.328534,31.9684020000001,31.738534,31.08853
32.628459,33.288335,33.058392,32.398375
33.9583620000001,34.59831,34.3783089999999,33.7082799999999
35.2582630000001,35.908182,35.6983610000001,35.0082679999999
36.4881690000001,37.098148,36.898217,36.288455
37.7782080000001,38.358296,38.1482120000001,37.5282400000001
39.028129,39.6480320000001,39.4480490000001,38.7981860000001
40.298038,40.938042,40.728038,40.0780480000001
41.568085,42.158173,41.9780320000001,41.337986
42.807991,43.457836,43.247975,42.5880110000001
44.117734,44.757805,44.5478280000001,43.88791
45.427771,46.047789,45.827705,45.207796
46.697642,47.347621,47.147606,46.487656
48.0076340000001,48.6076059999999,48.417651,47.7876230000001
49.277659,49.897572,49.68794,49.028449
50.537522,51.177564,50.96752,50.3075679999999
51.827535,52.4474650000001,52.227521,51.6175320000001
53.127504,53.7474599999999,53.537471,52.8774360000001
54.427355,55.057368,54.8473690000001,54.217367
55.757304,56.347157,56.1471759999999,55.507209
56.997147,57.647164,57.4072110000001,56.7771299999999
58.277825,58.927149,58.696984,58.0472860000001
59.537098,60.207137,59.957124,59.3276450000001
60.826994,61.476939,61.267002,60.597032
62.146928,62.7769929999999,62.557054,61.906942
63.4069480000001,64.0669849999999,63.836887,63.196964
64.716868,65.326835,65.126813,64.496856
66.006792,66.617181,66.3968080000001,65.7669360000001
67.276625,67.906659,67.686689,67.046738
68.536576,69.1466809999999,68.9465190000001,68.32656
69.798301,70.456536,70.216525,69.586536
71.096363,71.726846,71.5165059999999,70.886478
72.366607,72.976401,72.766392,72.146466
73.626346,74.186342,74.0063740000001,73.396467
74.836273,75.436282,75.246337,74.6163730000001
76.106255,76.7368,76.506351,75.8662730000001
77.366224,78.016204,77.796274,77.1463070000001
78.676056,79.246071,79.06609,78.4376549999999
79.906038,80.526001,80.3262590000001,79.686688
81.1458710000001,81.7758520000001,81.5562020000001,80.945938
82.395895,83.015938,82.785805,82.186063
83.645843,84.295887,84.0658910000001,83.425939
84.935873,85.575736,85.335833,84.728642
86.205768,86.8357559999999,86.615785,85.995816
87.495642,88.11576,87.9057,87.2757770000001
88.78569,89.39571,89.185688,88.5456650000001
90.055605,90.675437,90.485497,89.825645
91.3563690000001,91.955403,91.745381,91.1254190000001
92.585467,93.205439,92.995391,92.365436
93.85533,94.466289,94.255447,93.6253429999999
95.145344,95.735224,95.5353480000001,94.9153210000001
96.395188,97.01523,96.805195,96.1652340000001
97.685199,98.2951889999999,98.09514,97.46511
98.9651200000001,99.595098,99.375131,98.7451950000001
100.225093,100.885102,100.64512,100.015155
101.545049,102.164886,101.954962,101.325093
102.824832,103.454876,103.254786,102.614917
104.114806,104.784667,104.554827,103.894875
105.414793,106.045782,105.824782,105.205163
106.694729,107.334639,107.105831,106.474676
107.924696,108.574718,108.344851,107.734618
109.224605,109.884621,109.654601,108.984623
110.504581,111.154573,110.904547,110.294568
111.774646,112.37504,112.134542,111.554739
113.015068,113.684465,113.444443,112.814527
114.304341,114.964242,114.714221,114.104288
115.654467,116.294252,116.074658,115.414329
116.904443,117.534165,117.314147,116.694298
118.164263,118.784146,118.564097,117.94413
119.444184,120.094124,119.864089,119.214133
120.764029,121.424089,121.194016,120.544111
122.073929,122.733981,122.503902,121.864013
123.37402,124.023955,123.7939,123.164255
124.683915,125.303738,125.073769,124.444567
125.943739,126.583679,126.344524,125.713809
127.203637,127.853694,127.633667,126.993637
128.503616,129.143604,128.913615,128.293574
129.773741,130.403529,130.203487,129.553517
131.043511,131.693395,131.473415,130.843542
132.35367,133.033417,132.783379,132.133428
133.663421,134.283378,134.063404,133.453492
134.953327,135.623336,135.383351,134.714992
136.27328,136.923331,136.703351,136.053471
137.583153,138.243142,138.023129,137.363358
138.883172,139.533056,139.303076,138.663107
140.183111,140.863072,140.613104,139.963136
141.54303,142.15303,141.943077,141.313073
142.813038,143.492929,143.253294,142.592995
144.172897,144.822908,144.602844,143.933
145.492874,146.11276,145.882817,145.253058
146.782703,147.442737,147.20274,146.5628
148.122725,148.753314,148.492659,147.862877
149.372555,150.002601,149.77357,149.132875
150.642569,151.29247,151.0725,150.442602
151.892453,152.552681,152.322483,151.692553
153.19241,153.782412,153.58244,152.972437
154.432477,155.092321,154.872331,154.212445
155.742345,156.352266,156.142372,155.52233
157.012372,157.662254,157.442213,156.802271
158.31218,158.953943,158.742155,158.10221
159.61219,160.242506,160.032304,159.382147
160.872005,161.492054,161.282005,160.662126
162.161925,162.761962,162.563103,161.931917
163.401851,164.021904,163.811853,163.171891
164.663172,165.271818,165.081792,164.451808
165.9218,166.581688,166.361769,165.711825
167.211778,167.82225,167.591692,166.991743
168.451668,169.091669,168.861744,168.242344
169.721612,170.351693,170.131821,169.511628
171.011755,171.641717,171.421469,170.791831
172.281531,172.931427,172.711561,172.071771
173.591372,174.211344,174.011361,173.391363
174.8913,175.54138,175.311262,174.65127
176.19126,176.862687,176.611792,175.971323
177.521256,178.121235,177.911192,177.312
178.785993,179.421321,179.191211,178.561275
180.06111,180.701206,180.471134,179.841143
181.32113,181.921257,181.731079,181.111221
182.561003,183.15097,182.960981,182.341043
183.860936,184.440752,184.260834,183.611233
185.140771,185.800739,185.560806,184.910795
186.440763,187.070709,186.851126,186.230708
187.730651,188.371559,188.160728,187.500683
189.010631,189.600624,189.400628,188.790594
190.280488,190.940548,190.710595,190.050608
191.590546,192.260581,192.010458,191.36054
192.890465,193.550423,193.320467,192.732302
194.210445,194.860355,194.630437,193.981118
195.460366,196.120414,195.890417,195.260409
196.801177,197.430102,197.230153,196.550177
198.090097,198.713538,198.490138,197.870194
199.350119,199.9901,199.780037,199.140106
200.630033,201.270698,201.070178,200.410086
201.939985,202.539963,202.319968,201.710105
203.169933,203.810005,203.599928,202.950012
204.469941,205.10991,204.889862,204.249862
205.740112,206.399797,206.189834,205.529899
207.029729,207.659802,207.449896,206.81977
208.319678,208.989616,208.749578,208.079653
209.649558,210.289457,210.079503,209.43003
210.930101,211.54944,211.349434,210.719569
212.209509,212.839443,212.629451,211.980162
213.479656,214.139429,213.889464,213.259448
214.778236,215.429384,215.199385,214.549351
216.069355,216.689322,216.479308,215.849322
217.349217,217.970355,217.759282,217.129297
218.669226,219.209148,219.019204,218.419274
219.829048,220.489025,220.269047,219.630359
221.099492,221.758986,221.519014,220.908967
222.378909,223.019038,222.798933,222.17904
223.638905,224.308839,224.069152,223.43889
224.969144,225.578821,225.379055,224.740129
226.258814,226.878733,226.669058,226.018796
227.528693,228.188676,227.978692,227.318753
228.84873,229.498608,229.298684,228.62896
230.168624,230.818627,230.5786,229.938655
231.458449,232.088364,231.868415,231.248462
232.733378,233.358355,233.138377,232.518445
234.008394,234.66828,234.428388,233.788411
235.268635,235.928567,235.698359,235.088588
236.588528,237.238201,237.00819,236.358266
237.878165,238.528158,238.318155,237.668223
239.238097,239.85814,239.648145,238.999216
240.518218,241.168306,240.948033,240.288034
241.818167,242.488038,242.258071,241.608085
243.127991,243.757915,243.577873,242.91804
244.427781,245.097777,244.867862,244.197898
245.717756,246.337729,246.13773,245.50779
247.037779,247.677699,247.467669,246.767738
248.337681,248.997625,248.767742,248.117695
249.62758,250.2479,250.047831,249.417633
250.848386,251.487597,251.287757,250.647707
252.137502,252.777507,252.567483,251.89753
253.457478,254.087437,253.8879,253.22784
254.757274,255.377267,255.177336,254.527441
256.037387,256.657236,256.457926,255.827259
257.357216,257.967145,257.777164,257.117194
258.597121,259.277094,259.03754,258.407319
259.907061,260.547081,260.337078,259.687115
261.20704,261.857049,261.627018,260.987084
262.51721,263.127005,262.926978,262.277028
263.768229,264.406869,264.186964,263.547255
265.086733,265.696816,265.486749,264.856937
266.366967,267.006704,266.796946,266.126901
267.656676,268.326638,268.0866,267.436642
268.986584,269.616559,269.416556,268.74651
270.276792,270.926539,270.696473,270.056541
271.566524,272.226513,271.986523,271.34644
272.906444,273.546511,273.326529,272.666442
274.166424,274.806368,274.576689,273.936421
275.456378,276.076288,275.886325,275.226345
276.776312,277.406241,277.186272,276.547768
278.066302,278.726072,278.506212,277.846223
279.376064,280.02606,279.80657,279.156168
280.675937,281.346007,281.105964,280.456932
282.016047,282.635952,282.435985,281.765983
283.305908,283.955833,283.725899,283.075902
284.595866,285.235818,285.025883,284.375903
285.895826,286.555797,286.325789,285.665815
287.205893,287.85579,287.635846,286.995793
288.49574,289.145797,288.915695,288.275808
289.815654,290.415828,290.21575,289.585704
291.085537,291.755469,291.505445,290.855488
292.385458,293.02532,292.796437,292.175408
293.675422,294.315504,294.095384,293.455385
295.006314,295.675556,295.435415,294.775306
296.275334,296.915589,296.705379,296.075195
297.575235,298.205307,297.985403,297.335261
298.845186,299.505171,299.265357,298.625272
300.175111,300.795222,300.605114,299.935198
301.475061,302.144941,301.915082,301.245089
302.80495,303.464871,303.2549,302.574833
304.154899,304.774821,304.564871,303.924732
305.434779,306.054762,305.854809,305.204965
306.730661,307.384677,307.154751,306.504857
308.046066,308.656048,308.454691,307.814618
309.364615,309.994635,309.774534,309.10473
310.644604,311.294646,311.074473,310.414634
311.964531,312.615612,312.384582,311.735198
313.274433,313.914552,313.704547,313.054833
314.654286,315.285396,315.064793,314.384384
315.944239,316.654191,316.404201,315.74434
317.374232,317.984382,317.774224,317.104168
318.719957,319.324148,319.094129,318.44418
320.004171,320.674069,320.444059,319.774289
321.354052,321.973971,321.764067,321.124069
322.663995,323.304001,323.104001,322.424002
323.963988,324.623972,324.38408,323.745688
325.283913,325.963725,325.723788,325.063932
326.603753,327.233674,327.023818,326.383721
327.903723,328.563621,328.313686,327.673628
329.24496,329.903572,329.673586,329.003643
330.583563,331.213726,331.003534,330.353563
331.883525,332.533471,332.313492,331.653564
333.203434,333.833439,333.62368,332.963478
334.513626,335.153728,334.933471,334.273409
335.845234,336.513321,336.283214,335.603716
337.193316,337.823038,337.623112,336.943329
338.493155,339.153055,338.93311,338.274306
339.853114,340.48344,340.283112,339.603198
341.153243,341.793065,341.582988,340.932995
342.493003,343.122927,342.903016,342.252953
343.782974,344.462878,344.232984,343.572914
345.122815,345.772968,345.552854,344.882877
346.452831,347.10319,346.882776,346.213989
347.77324,348.462839,348.222754,347.552793
349.102701,349.772459,349.552518,348.892768
350.482556,351.142532,350.902483,350.242517
351.812456,352.47248,352.252494,351.582519
353.142407,353.792386,353.572405,352.902411
354.432394,355.082359,354.842356,354.212356
355.72243,356.352295,356.132321,355.492306
357.042258,357.632213,357.44223,356.802566
358.312516,358.972193,358.742224,358.072416
359.642416,360.272151,360.062182,359.402134
360.96214,361.621952,361.39206,360.732139
362.281957,362.971945,362.721733,362.051904
363.651882,364.291876,364.061876,363.411944
364.971879,365.651829,365.411705,364.775477
366.301767,366.911956,366.701627,366.051766
367.591792,368.222545,368.022531,367.351715
368.901714,369.532578,369.321727,368.651648
370.241672,370.93163,370.671633,369.991613
371.59155,372.271553,372.021579,371.361649
372.901545,373.561381,373.341307,372.681478
374.201373,374.841313,374.641432,373.971409
375.471273,376.131328,375.921563,375.261814
376.83125,377.491398,377.271217,376.591246
378.171485,378.861176,378.611253,377.941245
379.551152,380.221432,379.991109,379.331125
380.921066,381.561072,381.351072,380.713556
382.271039,382.921071,382.681049,382.031057
383.590963,384.251068,384.030977,383.351059
384.920877,385.570769,385.360809,384.70077
386.260812,386.900711,386.700698,386.010833
387.580701,388.230656,388.020697,387.350867
388.880642,389.540606,389.320635,388.66072
390.200519,390.880666,390.640607,389.950609
391.52052,392.170552,391.960455,391.310537
392.87051,393.510469,393.290429,392.630482
394.180456,394.810428,394.600426,393.940733
395.450505,396.090357,395.890375,395.220439
396.760145,397.470222,397.210193,396.54037
398.130141,398.740075,398.54016,397.900126
399.400283,400.020148,399.790076,399.160242
400.640081,401.300696,401.060044,400.440076
401.930008,402.60999,402.359988,401.720006
403.230973,403.869952,403.63994,403.020352
404.499894,405.14025,404.919896,404.290067
405.789936,406.419792,406.189863,405.560077
407.079814,407.7198,407.509793,406.839771
408.389899,409.029615,408.809609,408.14974
409.689549,410.349553,410.109627,409.479602
411.009583,411.649555,411.439485,410.789568
412.299765,412.969519,412.74942,412.079542
413.639386,414.279491,414.059461,413.399446
414.959389,415.589291,415.36937,414.739409
416.259318,416.919365,416.689558,416.029373
417.579271,418.229278,417.99925,417.359304
418.909259,419.569292,419.359249,418.659257
420.189046,420.789128,420.580671,419.989127
421.448948,422.078915,421.858943,421.218988
422.738891,423.378999,423.148883,422.508928
424.039003,424.718782,424.468797,423.818912
425.34881,425.998752,425.778875,425.128807
426.638779,427.268779,427.048776,426.428722
427.918725,428.568688,428.348745,427.698777
429.238743,429.878672,429.65874,429.009233
430.568647,431.178612,430.96878,430.328629
431.809032,432.448603,432.22844,431.578645
433.118362,433.758621,433.528634,432.878387
434.438361,435.068278,434.838738,434.198366
435.768292,436.35828,436.158306,435.528463
437.078236,437.728289,437.498231,436.828251
438.408203,439.058183,438.82817,438.188315
439.708145,440.348215,440.128088,439.488432
441.018168,441.678096,441.448071,440.839253
442.327993,442.968028,442.751887,442.108141
443.618046,444.277944,444.038047,443.398207
445.007982,445.587746,445.387864,444.758503
446.297837,446.947747,446.755917,446.047757
447.587833,448.25784,448.017888,447.377755
448.937643,449.577606,449.357638,448.726893
450.237559,450.877554,450.647582,449.997665
451.518995,452.137528,451.937566,451.307575
452.827769,453.477932,453.237515,452.597503
454.148049,454.779075,454.54755,453.917472
455.407412,456.027237,455.827672,455.187418
456.763642,457.337246,457.107259,456.457263
457.967248,458.627121,458.387129,457.757211
459.257188,459.917281,459.6871,459.037212
460.567048,461.207017,460.987033,460.347037
461.887683,462.517012,462.287046,461.636969
463.13693,463.767043,463.557048,462.927116
464.376964,465.006925,464.78691,464.156943
465.656941,466.276788,466.06798,465.446905
466.947046,467.576594,467.357156,466.706806
468.216708,468.856605,468.637642,468.006699
469.526643,470.156584,469.936555,469.276718
470.81652,471.436569,471.226646,470.596574
472.106516,472.7264,472.526492,471.86649
473.36643,474.007842,473.786451,473.147339
474.63639,475.29634,475.066417,474.426411
475.92641,476.546322,476.336487,475.716436
477.206529,477.826249,477.626168,476.976344
478.497055,479.076225,478.877062,478.266468
479.716038,NaN,NaN,479.496076
