lto,rto,lhs,rhs
85.92,85.42,85.22,85.76
87.02,86.48,86.3,86.84
88.08,87.56,87.38,87.92
89.14,88.62,88.44,88.98
90.24,89.7,89.52,90.06
91.28,90.76,90.58,91.12
92.36,91.82,91.64,92.22
93.44,92.92,92.74,93.28
94.5,93.98,93.82,94.34
95.58,95.06,94.88,95.44
96.68,96.14,95.96,96.5
97.74,97.22,97.04,97.58
98.82,98.28,98.1,98.64
99.86,99.34,99.18,99.7
100.94,100.42,100.24,100.78
102.02,101.48,101.32,101.86
103.08,102.54,102.38,102.92
104.16,103.64,103.46,104
105.24,104.7,104.54,105.06
106.3,105.76,105.58,106.12
107.36,106.84,106.66,107.2
108.44,107.92,107.74,108.28
109.52,108.98,108.82,109.36
110.6,110.06,109.88,110.44
111.66,111.14,110.96,111.5
112.76,112.22,112.06,112.58
113.8,113.3,113.12,113.66
114.86,114.34,114.18,114.7
115.94,115.44,115.26,115.8
117.02,116.5,116.32,116.86
118.06,117.54,117.38,117.92
119.16,118.6,118.44,119
120.22,119.68,119.5,120.04
121.26,120.74,120.58,121.1
122.34,121.8,121.62,122.16
123.4,122.88,122.7,123.24
124.48,123.94,123.76,124.3
125.54,125.02,124.84,125.38
126.62,126.08,125.9,126.46
127.7,127.14,126.98,127.52
128.78,128.24,128.06,128.6
129.84,129.3,129.12,129.66
130.92,130.36,130.2,130.76
132,131.46,131.28,131.84
133.06,132.52,132.36,132.88
134.12,133.6,133.42,133.96
135.18,134.66,134.5,135.04
136.26,135.74,135.56,136.1
137.34,136.8,136.64,137.18
138.42,137.88,137.7,138.24
139.5,138.96,138.78,139.34
140.58,140.04,139.86,140.42
141.64,141.12,140.94,141.48
142.74,142.2,142.02,142.56
143.8,143.28,143.1,143.64
144.88,144.34,144.18,144.72
145.96,145.42,145.24,145.8
147.04,146.5,146.34,146.88
148.14,147.58,147.4,147.98
149.22,148.68,148.5,149.06
150.28,149.76,149.58,150.14
151.34,150.82,150.64,151.18
152.44,151.9,151.72,152.26
153.5,152.98,152.8,153.34
154.58,154.06,153.88,154.44
155.66,155.12,154.96,155.5
156.74,156.18,156.02,156.58
157.82,157.28,157.1,157.66
